
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 209         |
|    ep_rew_mean          | 29.5        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3054        |
|    time_elapsed         | 57694       |
|    total_timesteps      | 75055104    |
| train/                  |             |
|    approx_kl            | 0.022228489 |
|    clip_fraction        | 0.0754      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.414      |
|    explained_variance   | 0.869       |
|    learning_rate        | 3.05e-05    |
|    loss                 | 0.221       |
|    n_updates            | 30530       |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 1.36        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 211        |
|    ep_rew_mean          | 29         |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3055       |
|    time_elapsed         | 57713      |
|    total_timesteps      | 75079680   |
| train/                  |            |
|    approx_kl            | 0.02285294 |
|    clip_fraction        | 0.082      |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.408     |
|    explained_variance   | 0.86       |
|    learning_rate        | 3.04e-05   |
|    loss                 | 0.232      |
|    n_updates            | 30540      |
|    policy_gradient_loss | -0.0222    |
|    value_loss           | 1.38       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 209         |
|    ep_rew_mean          | 27.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3056        |
|    time_elapsed         | 57733       |
|    total_timesteps      | 75104256    |
| train/                  |             |
|    approx_kl            | 0.023397982 |
|    clip_fraction        | 0.0826      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.397      |
|    explained_variance   | 0.858       |
|    learning_rate        | 3.04e-05    |
|    loss                 | 0.242       |
|    n_updates            | 30550       |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 1.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | 29.9        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3057        |
|    time_elapsed         | 57753       |
|    total_timesteps      | 75128832    |
| train/                  |             |
|    approx_kl            | 0.023589322 |
|    clip_fraction        | 0.0833      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.412      |
|    explained_variance   | 0.867       |
|    learning_rate        | 3.03e-05    |
|    loss                 | 0.226       |
|    n_updates            | 30560       |
|    policy_gradient_loss | -0.0207     |
|    value_loss           | 1.35        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 208         |
|    ep_rew_mean          | 28.9        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3058        |
|    time_elapsed         | 57772       |
|    total_timesteps      | 75153408    |
| train/                  |             |
|    approx_kl            | 0.023418626 |
|    clip_fraction        | 0.0804      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.393      |
|    explained_variance   | 0.869       |
|    learning_rate        | 3.03e-05    |
|    loss                 | 0.22        |
|    n_updates            | 30570       |
|    policy_gradient_loss | -0.0215     |
|    value_loss           | 1.34        |
